DataMessageGUID,SensorID,Sensor Name,Date,Time,Value,FormattedValue,Battery,Raw Data,Sensor State,GatewayID,Alert Sent,Signal Strength,Voltage
5fce7667-3277-4a81-95c0-d285b8ad84c8,633384,Temp/ Humidity 1,11/17/2022,13,44,43.98% @ 21.7� C,100,"43.98,21.67,8.9,50.3,21,14.3",0,964010,FALSE,100,2.73
08a0ec9c-1c9e-425d-aba8-443614772123,633384,Temp/ Humidity 1,11/17/2022,13,44,43.98% @ 21.7� C,100,"43.98,21.67,8.9,50.3,21,14.3",0,964010,FALSE,100,2.73
a656cdd1-778e-45fb-aa9c-e92e1d016286,633384,Temp/ Humidity 1,11/17/2022,13,44,43.87% @ 21.7� C,100,"43.87,21.65,8.8,50.1,21,14.2",0,964010,FALSE,100,2.73
658c011e-596f-478c-9367-b1bc2191e8d1,633384,Temp/ Humidity 1,11/17/2022,13,44,43.87% @ 21.7� C,100,"43.87,21.65,8.8,50.1,21,14.2",0,964010,FALSE,100,2.73
d0e12823-fe44-42cd-a829-47eb3e8b2b3c,633384,Temp/ Humidity 1,11/17/2022,13,44,43.85% @ 21.6� C,100,"43.85,21.64,8.8,50.1,21,14.2",0,964010,FALSE,100,2.74
e92bffad-3329-47eb-a185-097f7f773f25,633384,Temp/ Humidity 1,11/17/2022,13,44,43.85% @ 21.6� C,100,"43.85,21.64,8.8,50.1,21,14.2",0,964010,FALSE,100,2.74
5d8d4f19-a774-4cb0-bcdc-7edd519fca69,633384,Temp/ Humidity 1,11/17/2022,12,44,43.79% @ 21.7� C,100,"43.79,21.67,8.8,50.1,21,14.2",0,964010,FALSE,100,2.73
e0747754-db73-44ea-b4fb-63b57fc85aeb,633384,Temp/ Humidity 1,11/17/2022,12,44,43.79% @ 21.7� C,100,"43.79,21.67,8.8,50.1,21,14.2",0,964010,FALSE,100,2.73
5572201a-99da-43b9-9bdf-692256e85d8d,633384,Temp/ Humidity 1,11/17/2022,12,44,43.63% @ 21.7� C,100,"43.63,21.68,8.8,49.9,21,14.2",0,964010,FALSE,100,2.74
87d94412-98d3-477d-b1c4-338f559a0a75,633384,Temp/ Humidity 1,11/17/2022,12,44,43.63% @ 21.7� C,100,"43.63,21.68,8.8,49.9,21,14.2",0,964010,FALSE,100,2.74
17723098-44e5-46d5-b547-185e4f93b513,633384,Temp/ Humidity 1,11/17/2022,12,43,43.48% @ 21.7� C,100,"43.48,21.67,8.7,49.7,21,14.2",0,964010,FALSE,100,2.73
7d939578-2be1-48d6-871a-6b13da8edbec,633384,Temp/ Humidity 1,11/17/2022,12,43,43.48% @ 21.7� C,100,"43.48,21.67,8.7,49.7,21,14.2",0,964010,FALSE,100,2.73
2dbc80a6-e7eb-4cfd-9534-4a234d785a00,633384,Temp/ Humidity 1,11/17/2022,21,43,43.35% @ 21.7� C,100,"43.35,21.74,8.7,49.8,21.1,14.2",0,964010,FALSE,100,2.73
b6639686-a6af-4fbf-a625-5679ec4436cc,633384,Temp/ Humidity 1,11/17/2022,21,43,43.35% @ 21.7� C,100,"43.35,21.74,8.7,49.8,21.1,14.2",0,964010,FALSE,100,2.73
ba155b7c-0377-4b6d-b143-bd5094502a6a,633384,Temp/ Humidity 1,11/17/2022,21,43,43.13% @ 21.9� C,100,"43.13,21.88,8.8,50,21.2,14.3",0,964010,FALSE,100,2.74
e52ad1ae-5dd9-4ff6-a0d5-b29d95781190,633384,Temp/ Humidity 1,11/17/2022,21,43,42.78% @ 22.2� C,100,"42.78,22.15,8.9,50.4,21.5,14.5",0,964010,FALSE,100,2.74
fc4bdecc-b759-49bd-beea-9a5ae85fddfe,633384,Temp/ Humidity 1,11/17/2022,21,43,42.78% @ 22.2� C,100,"42.78,22.15,8.9,50.4,21.5,14.5",0,964010,FALSE,100,2.74
b43578cb-2662-444f-816a-7a9107c81a75,633384,Temp/ Humidity 1,11/17/2022,20,43,43.44% @ 21.9� C,100,"43.44,21.85,8.9,50.2,21.2,14.3",0,964010,FALSE,100,2.73
f87ae8ad-7fff-4097-bec8-b22c62cbcf60,633384,Temp/ Humidity 1,11/17/2022,20,43,43.44% @ 21.9� C,100,"43.44,21.85,8.9,50.2,21.2,14.3",0,964010,FALSE,100,2.73
fdfae0e5-e6f5-4957-a79e-b784d1b9e5b7,633384,Temp/ Humidity 1,11/17/2022,20,43,43.45% @ 21.9� C,100,"43.45,21.94,9,50.5,21.3,14.4",0,964010,FALSE,100,2.74
0d8f27a1-764b-4c76-bc48-739b1412f1b6,633384,Temp/ Humidity 1,11/17/2022,20,43,43.45% @ 21.9� C,100,"43.45,21.94,9,50.5,21.3,14.4",0,964010,FALSE,100,2.74
13737f1b-90f6-4594-8d54-0fe5c1222097,633384,Temp/ Humidity 1,11/17/2022,20,43,43.13% @ 22.1� C,100,"43.13,22.05,8.9,50.5,21.4,14.5",0,964010,FALSE,100,2.74
18d32853-0290-464d-b4f5-2382cd02059c,633384,Temp/ Humidity 1,11/17/2022,19,43,42.85% @ 22.3� C,100,"42.85,22.34,9.1,51.1,21.7,14.7",0,964010,FALSE,100,2.74
98188ddc-a0fd-4a96-aeb3-4432b5f54465,633384,Temp/ Humidity 1,11/17/2022,19,44,43.64% @ 22� C,100,"43.64,22,9.1,51,21.4,14.5",0,964010,FALSE,100,2.74
195a5817-7d19-4f5c-9b98-59f8d934931c,633384,Temp/ Humidity 1,11/17/2022,19,44,43.64% @ 22� C,100,"43.64,22,9.1,51,21.4,14.5",0,964010,FALSE,100,2.74
743bdeb0-952c-4a64-b528-5479ce3ee614,633384,Temp/ Humidity 1,11/17/2022,19,44,43.62% @ 22.1� C,100,"43.62,22.08,9.1,51.2,21.5,14.6",0,964010,FALSE,100,2.74
ef254f03-1468-4c3e-b969-954d662ebb88,633384,Temp/ Humidity 1,11/17/2022,18,43,43.35% @ 22.3� C,100,"43.35,22.28,9.2,51.5,21.7,14.7",0,964010,FALSE,100,2.73
9d6b3c73-1517-4a1c-b5f5-28c13c3c8132,633384,Temp/ Humidity 1,11/17/2022,18,44,44.04% @ 22.1� C,100,"44.04,22.11,9.3,51.8,21.5,14.6",0,964010,FALSE,100,2.74
64ce06d1-783d-4b98-81cf-b75ca8329ea1,633384,Temp/ Humidity 1,11/17/2022,18,44,44.3% @ 22.2� C,100,"44.3,22.22,9.5,52.4,21.7,14.8",0,964010,FALSE,100,2.74
