DataMessageGUID,SensorID,Sensor Name,Date,Time,Value,FormattedValue,Battery,Raw Data,Sensor State,GatewayID,Alert Sent,Signal Strength,Voltage
918d4c09-ca5b-469e-af83-9bfa1754dacf,633384,Temp/ Humidity 1,11/14/2022,13,45,44.8% @ 21.1� C,100,"44.8,21.12,8.7,49.5,20.5,13.9",0,964010,FALSE,100,2.72
f2babaf3-84bd-4aef-883c-83e4d30e7a9f,633384,Temp/ Humidity 1,11/14/2022,13,45,44.65% @ 21.2� C,100,"44.65,21.16,8.7,49.4,20.5,13.9",0,964010,FALSE,100,2.72
2d39abd8-21c7-4509-ad33-655df23126a4,633384,Temp/ Humidity 1,11/14/2022,13,44,44.47% @ 21.2� C,100,"44.47,21.19,8.6,49.3,20.5,13.9",0,964010,FALSE,100,2.72
3fe0c91e-f915-4b6c-a797-4cead59ea7b1,633384,Temp/ Humidity 1,11/14/2022,12,44,44.21% @ 21.3� C,100,"44.21,21.26,8.6,49.3,20.6,14",0,964010,FALSE,100,2.73
8565c5b5-0faf-4b9a-bf1d-ef605b420cf9,633384,Temp/ Humidity 1,11/14/2022,12,44,43.81% @ 21.4� C,100,"43.81,21.39,8.6,49.2,20.7,14",0,964010,FALSE,100,2.73
a66bf6e5-fcda-4fb8-98c0-ff130f0e180b,633384,Temp/ Humidity 1,11/14/2022,12,43,43.3% @ 21.6� C,100,"43.3,21.63,8.6,49.4,21,14.1",0,964010,FALSE,100,2.73
84897d7e-8694-4d60-b7a9-11b789a9e6dd,633384,Temp/ Humidity 1,11/14/2022,21,43,43.38% @ 21.7� C,100,"43.38,21.73,8.7,49.8,21.1,14.2",0,964010,FALSE,100,2.73
a6cbef37-3e96-4cc2-a596-b7a29db0b87a,633384,Temp/ Humidity 1,11/14/2022,21,44,43.63% @ 21.6� C,100,"43.63,21.64,8.7,49.8,21,14.2",0,964010,FALSE,100,2.72
172b8d01-8744-4137-8ee0-adc7c581f3e7,633384,Temp/ Humidity 1,11/14/2022,21,44,43.73% @ 21.3� C,100,"43.73,21.29,8.5,48.8,20.6,13.9",0,964010,FALSE,100,2.73
7ea5d737-914a-4710-bbbc-b7125d0d116e,633384,Temp/ Humidity 1,11/14/2022,20,43,43.04% @ 21.7� C,100,"43.04,21.65,8.6,49.2,21,14.1",0,964010,FALSE,100,2.73
5a3b757f-7bd0-4db4-a261-f22ebe173f30,633384,Temp/ Humidity 1,11/14/2022,20,44,43.54% @ 21.7� C,100,"43.54,21.7,8.8,49.9,21.1,14.2",0,964010,FALSE,100,2.73
0fbf2da8-1709-4cc3-8661-784944a55ece,633384,Temp/ Humidity 1,11/14/2022,20,44,43.79% @ 21.4� C,100,"43.79,21.39,8.6,49.2,20.7,14",0,964010,FALSE,100,2.73
656e3c61-3921-4e5e-aca1-e9bb0f51e4e3,633384,Temp/ Humidity 1,11/14/2022,19,43,43.19% @ 21.7� C,100,"43.19,21.74,8.7,49.6,21.1,14.2",0,964010,FALSE,100,2.73
