DataMessageGUID,SensorID,Sensor Name,Date,Time,Value,FormattedValue,Battery,Raw Data,Sensor State,GatewayID,Alert Sent,Signal Strength,Voltage
aa982176-84ed-46d7-8dfd-24be0112056a,633384,Temp/ Humidity 1,11/15/2022,13,41,41.1% @ 21.5� C,100,"41.1,21.52,7.8,46.6,20.8,13.7",0,964010,FALSE,100,2.73
668d500b-ef3d-4450-83ce-bd61dd9e9ade,633384,Temp/ Humidity 1,11/15/2022,13,41,41.18% @ 21.6� C,100,"41.18,21.56,7.8,46.8,20.8,13.8",0,964010,FALSE,100,2.73
f6432cb7-1f77-41d2-a702-007b749e1fc3,633384,Temp/ Humidity 1,11/15/2022,13,41,41.13% @ 21.6� C,100,"41.13,21.58,7.8,46.8,20.9,13.8",0,964010,FALSE,100,2.73
2fdb39b2-b036-41f1-b5be-1754f5dd60d1,633384,Temp/ Humidity 1,11/15/2022,12,41,41.02% @ 21.6� C,100,"41.02,21.63,7.8,46.8,20.9,13.8",0,964010,FALSE,100,2.73
9fab317c-e5ed-476e-8e59-982f20a89d2b,633384,Temp/ Humidity 1,11/15/2022,12,41,41.01% @ 21.6� C,100,"41.01,21.64,7.8,46.8,20.9,13.8",0,964010,FALSE,100,2.73
e241db50-ce14-437b-89fb-f4e88af4950a,633384,Temp/ Humidity 1,11/15/2022,12,41,41.03% @ 21.7� C,100,"41.03,21.67,7.9,46.9,21,13.8",0,964010,FALSE,100,2.73
6ae66b06-ebee-451e-86e7-d8a3773014ce,633384,Temp/ Humidity 1,11/15/2022,21,41,40.54% @ 21.9� C,100,"40.54,21.88,7.9,47,21.2,13.9",0,964010,FALSE,100,2.73
0c2bf3bb-0000-46a2-b188-e29fb95d3a97,633384,Temp/ Humidity 1,11/15/2022,21,42,42.28% @ 21.8� C,100,"42.28,21.8,8.4,48.7,21.1,14.1",0,964010,FALSE,100,2.73
58357ad7-7e30-4d84-993d-1dcc04365ec4,633384,Temp/ Humidity 1,11/15/2022,21,42,42.22% @ 22� C,100,"42.22,22.02,8.6,49.4,21.4,14.3",0,964010,FALSE,100,2.73
d106b382-f59e-4ad1-bf1e-55eb0362409e,633384,Temp/ Humidity 1,11/15/2022,20,43,43.33% @ 21.9� C,100,"43.33,21.92,8.9,50.3,21.3,14.4",0,964010,FALSE,100,2.73
feea5373-6280-4161-a864-fb10d5b6ada1,633384,Temp/ Humidity 1,11/15/2022,20,43,43.48% @ 22.1� C,100,"43.48,22.12,9.1,51.1,21.5,14.6",0,964010,FALSE,100,2.73
14e29510-960f-449a-9ffe-a548fd7334e5,633384,Temp/ Humidity 1,11/15/2022,20,45,44.89% @ 22� C,100,"44.89,21.98,9.5,52.3,21.4,14.7",0,964010,FALSE,100,2.73
f91a4e15-2a65-4ac2-b870-2ed459b4a3a0,633384,Temp/ Humidity 1,11/15/2022,19,45,45.03% @ 22.2� C,100,"45.03,22.18,9.7,53.2,21.6,14.8",0,964010,FALSE,100,2.73
cf42677e-ec17-4824-84d4-4b9c3a4a8656,633384,Temp/ Humidity 1,11/15/2022,19,47,46.5% @ 22� C,100,"46.5,22.02,10,54.4,21.5,14.9",0,964010,FALSE,100,2.73
95046864-e9ab-4fc1-a056-aef944937923,633384,Temp/ Humidity 1,11/15/2022,19,47,46.54% @ 22.2� C,100,"46.54,22.21,10.2,55.1,21.7,15.1",0,964010,FALSE,100,2.73
